Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -188.6860    -189.5098       0.8239   265.6
0.1000        -188.5089    -189.0476       0.5387   173.6
0.2000        -188.3715    -189.0936       0.7221   232.8
0.3000        -188.3292    -189.0968       0.7677   247.5
0.4000        -188.2922    -189.1892       0.8970   289.1
0.5000        -188.2279    -189.1914       0.9635   310.6
0.6000        -187.9519    -188.9759       1.0240   330.1
0.7000        -187.3992    -188.8179       1.4188   457.3
0.8000        -186.6396    -188.5191       1.8795   605.9
0.9000        -185.8460    -188.1766       2.3307   751.3
1.0000        -185.0490    -187.6344       2.5855   833.4
1.1000        -184.1494    -187.1935       3.0441   981.3
1.2000        -183.3411    -187.8508       4.5097  1453.7
1.3000        -182.3435    -186.9838       4.6402  1495.8
1.4000        -181.4212    -186.5097       5.0885  1640.3
1.5000        -180.3140    -185.4420       5.1279  1653.0
1.6000        -179.5426    -185.3768       5.8342  1880.7
1.7000        -179.1883    -184.5090       5.3207  1715.1
1.8000        -178.8743    -184.3193       5.4451  1755.2
1.9000        -178.6577    -183.9505       5.2929  1706.1
2.0000        -178.5787    -184.2097       5.6310  1815.1
2.1000        -178.3766    -185.8988       7.5222  2424.8
2.2000        -178.3412    -184.4493       6.1081  1968.9
2.3000        -178.3356    -183.1337       4.7981  1546.7
2.4000        -178.5368    -185.2065       6.6697  2150.0
2.5000        -178.4166    -184.4515       6.0349  1945.3
2.6000        -178.5751    -184.3869       5.8118  1873.4
2.7000        -178.7592    -185.4092       6.6500  2143.6
2.8000        -178.9123    -183.6110       4.6987  1514.6
2.9000        -178.9044    -185.8334       6.9290  2233.6
3.0000        -178.9782    -185.2497       6.2715  2021.6
3.1000        -178.9878    -185.5057       6.5179  2101.0
3.2000        -178.9606    -184.7077       5.7471  1852.6
3.3000        -178.8476    -183.7184       4.8708  1570.1
3.4000        -178.8447    -184.4955       5.6509  1821.5
3.5000        -178.9746    -184.6423       5.6678  1827.0
3.6000        -179.0350    -185.7292       6.6942  2157.9
3.7000        -179.2004    -185.4569       6.2564  2016.7
3.8000        -179.2308    -185.2210       5.9902  1930.9
3.9000        -179.2296    -185.3208       6.0912  1963.5
4.0000        -179.3790    -184.7014       5.3224  1715.7
4.1000        -179.4043    -184.2284       4.8241  1555.0
4.2000        -179.3211    -183.5428       4.2216  1360.8
4.3000        -179.4881    -184.7136       5.2255  1684.4
4.4000        -179.3226    -184.4583       5.1357  1655.5
4.5000        -179.3863    -184.6009       5.2146  1680.9
4.6000        -179.4260    -184.6281       5.2021  1676.9
4.7000        -179.5021    -184.6277       5.1256  1652.2
4.8000        -179.5324    -184.5491       5.0167  1617.1
4.9000        -179.6190    -185.4232       5.8043  1871.0
5.0000        -179.7181    -184.7088       4.9907  1608.7
5.1000        -179.5981    -184.5382       4.9401  1592.4
5.2000        -179.7611    -184.3383       4.5772  1475.5
5.3000        -179.8338    -185.1837       5.3499  1724.5
5.4000        -179.8603    -185.1260       5.2657  1697.4
5.5000        -180.0802    -185.1445       5.0643  1632.5
5.6000        -180.0950    -185.3322       5.2372  1688.2
5.7000        -179.9996    -184.8856       4.8860  1575.0
5.8000        -180.1729    -185.2407       5.0678  1633.6
5.9000        -180.2468    -185.0732       4.8264  1555.8
6.0000        -180.3697    -186.0252       5.6555  1823.0
6.1000        -180.4532    -185.2416       4.7884  1543.5
6.2000        -180.5674    -184.7138       4.1465  1336.6
