Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.8570      -7.8998       0.0428   345.4
0.0100          -7.8509      -7.8801       0.0292   235.9
0.0200          -7.8504      -7.8744       0.0240   194.1
0.0300          -7.8355      -7.8725       0.0369   298.0
0.0400          -7.8303      -7.8641       0.0338   272.9
0.0500          -7.8162      -7.8678       0.0516   416.7
0.0600          -7.7942      -7.8615       0.0673   543.4
0.0700          -7.7827      -7.8534       0.0708   571.2
0.0800          -7.7526      -7.8418       0.0892   720.4
0.0900          -7.7519      -7.8370       0.0851   686.6
0.1000          -7.7664      -7.8449       0.0785   633.9
0.1100          -7.7515      -7.8423       0.0908   733.2
0.1200          -7.6842      -7.7911       0.1069   863.0
0.1300          -7.6651      -7.7682       0.1030   831.9
0.1400          -7.6291      -7.7806       0.1514  1222.5
0.1500          -7.6239      -7.7750       0.1511  1219.9
0.1600          -7.6030      -7.7957       0.1927  1555.8
0.1700          -7.5824      -7.7639       0.1815  1465.3
0.1800          -7.5744      -7.7550       0.1806  1457.6
0.1900          -7.5732      -7.7469       0.1737  1401.9
0.2000          -7.5337      -7.7601       0.2263  1827.1
0.2100          -7.5864      -7.7117       0.1253  1011.6
0.2200          -7.5814      -7.7309       0.1495  1206.7
0.2300          -7.5537      -7.7287       0.1749  1412.1
0.2400          -7.5260      -7.7040       0.1780  1436.8
0.2500          -7.4526      -7.6873       0.2347  1894.5
0.2600          -7.4334      -7.6714       0.2381  1921.7
0.2700          -7.4446      -7.6866       0.2420  1953.4
0.2800          -7.4528      -7.7141       0.2612  2108.7
0.2900          -7.4383      -7.6411       0.2028  1637.5
0.3000          -7.4075      -7.6778       0.2703  2182.1
0.3100          -7.3960      -7.6413       0.2453  1980.4
0.3200          -7.3673      -7.6658       0.2985  2409.8
0.3300          -7.4561      -7.6883       0.2322  1874.6
0.3400          -7.4213      -7.6543       0.2330  1880.7
0.3500          -7.2986      -7.6665       0.3679  2969.9
0.3600          -7.2013      -7.5073       0.3060  2470.6
0.3700          -7.2275      -7.5418       0.3143  2537.1
0.3800          -7.1804      -7.5672       0.3868  3122.5
0.3900          -7.2096      -7.5606       0.3510  2833.3
0.4000          -7.1864      -7.5580       0.3716  2999.6
0.4100          -7.0738      -7.5388       0.4650  3753.7
0.4200          -7.0806      -7.5284       0.4478  3615.2
0.4300          -7.0348      -7.5443       0.5095  4113.1
0.4400          -7.0019      -7.4151       0.4132  3335.4
0.4500          -7.0693      -7.4852       0.4159  3357.5
0.4600          -7.0539      -7.3775       0.3236  2612.1
0.4700          -6.9668      -7.4069       0.4402  3553.6
0.4800          -6.9918      -7.4268       0.4350  3511.8
0.4900          -7.0199      -7.4642       0.4444  3587.2
0.5000          -7.0156      -7.4681       0.4525  3652.9
0.5100          -7.0784      -7.4242       0.3458  2791.5
0.5200          -7.0187      -7.4620       0.4432  3578.2
0.5300          -7.0337      -7.4602       0.4265  3443.3
0.5400          -6.8633      -7.3193       0.4561  3681.8
0.5500          -6.8312      -7.3214       0.4902  3957.4
0.5600          -6.7873      -7.3906       0.6033  4870.6
0.5700          -6.8234      -7.2268       0.4034  3256.6
0.5800          -6.6661      -7.2061       0.5400  4359.5
0.5900          -6.6637      -7.2411       0.5773  4660.6
0.6000          -6.6160      -7.2818       0.6657  5374.1
0.6100          -6.5301      -7.2650       0.7349  5932.8
0.6200          -6.6483      -7.3677       0.7194  5807.3
0.6300          -6.6613      -7.2440       0.5827  4704.0
0.6400          -6.7094      -7.1688       0.4594  3708.9
0.6500          -6.5754      -7.1896       0.6143  4958.8
0.6600          -6.6454      -7.2170       0.5716  4614.5
