       Step     Time          Energy          fmax
LBFGS:    0 21:21:07    -2758.058933       10.143750
LBFGS:    1 21:21:12    -2759.770920        3.541538
LBFGS:    2 21:21:16    -2760.407753        3.688410
LBFGS:    3 21:21:21    -2761.366294        2.996538
LBFGS:    4 21:21:25    -2761.961480        3.980208
LBFGS:    5 21:21:29    -2762.676197        3.918530
LBFGS:    6 21:21:34    -2763.466944        2.480368
LBFGS:    7 21:21:38    -2763.999446        1.528446
LBFGS:    8 21:21:43    -2764.455757        2.210111
LBFGS:    9 21:21:47    -2764.693014        1.421950
LBFGS:   10 21:21:52    -2764.962697        1.517821
LBFGS:   11 21:21:56    -2765.165124        1.333446
LBFGS:   12 21:22:00    -2765.425736        1.751843
LBFGS:   13 21:22:05    -2765.748955        1.971145
LBFGS:   14 21:22:09    -2766.079295        1.288210
LBFGS:   15 21:22:13    -2766.311440        1.066171
LBFGS:   16 21:22:17    -2766.507418        0.984865
LBFGS:   17 21:22:21    -2766.617939        1.148608
LBFGS:   18 21:22:26    -2766.748439        0.775491
LBFGS:   19 21:22:30    -2766.858680        0.790655
LBFGS:   20 21:22:34    -2766.986311        0.560473
LBFGS:   21 21:22:38    -2767.073287        0.463842
LBFGS:   22 21:22:43    -2767.151422        0.447838
LBFGS:   23 21:22:47    -2767.216797        0.498024
LBFGS:   24 21:22:51    -2767.280807        0.542100
LBFGS:   25 21:22:55    -2767.339440        0.359036
LBFGS:   26 21:22:59    -2767.394093        0.312939
LBFGS:   27 21:23:04    -2767.446131        0.324982
LBFGS:   28 21:23:08    -2767.488443        0.312213
LBFGS:   29 21:23:12    -2767.528978        0.253381
LBFGS:   30 21:23:16    -2767.568726        0.241608
LBFGS:   31 21:23:21    -2767.607628        0.220171
LBFGS:   32 21:23:25    -2767.642424        0.220969
LBFGS:   33 21:23:29    -2767.672125        0.201269
LBFGS:   34 21:23:34    -2767.697964        0.171638
LBFGS:   35 21:23:38    -2767.722210        0.183451
LBFGS:   36 21:23:42    -2767.745070        0.161432
LBFGS:   37 21:23:46    -2767.765221        0.169532
LBFGS:   38 21:23:50    -2767.782681        0.142828
LBFGS:   39 21:23:55    -2767.798647        0.152439
LBFGS:   40 21:23:59    -2767.813977        0.145823
LBFGS:   41 21:24:03    -2767.828642        0.121487
LBFGS:   42 21:24:07    -2767.842336        0.123739
LBFGS:   43 21:24:11    -2767.855447        0.137297
LBFGS:   44 21:24:15    -2767.868752        0.123601
LBFGS:   45 21:24:20    -2767.882278        0.106277
LBFGS:   46 21:24:24    -2767.895287        0.090327
LBFGS:   47 21:24:28    -2767.907279        0.109564
LBFGS:   48 21:24:32    -2767.918509        0.141705
LBFGS:   49 21:24:36    -2767.929507        0.142292
LBFGS:   50 21:24:40    -2767.940676        0.117732
LBFGS:   51 21:24:44    -2767.951542        0.098204
LBFGS:   52 21:24:48    -2767.961249        0.084564
LBFGS:   53 21:24:53    -2767.969736        0.082724
LBFGS:   54 21:24:57    -2767.978009        0.079179
LBFGS:   55 21:25:01    -2767.986274        0.094370
LBFGS:   56 21:25:05    -2767.994363        0.091453
LBFGS:   57 21:25:10    -2768.001779        0.076375
LBFGS:   58 21:25:14    -2768.008395        0.071928
LBFGS:   59 21:25:18    -2768.014366        0.074469
LBFGS:   60 21:25:22    -2768.019856        0.070210
LBFGS:   61 21:25:27    -2768.024874        0.068777
LBFGS:   62 21:25:31    -2768.029542        0.059300
LBFGS:   63 21:25:35    -2768.034198        0.058731
LBFGS:   64 21:25:39    -2768.039092        0.069676
LBFGS:   65 21:25:43    -2768.044098        0.059753
LBFGS:   66 21:25:47    -2768.048825        0.053134
LBFGS:   67 21:25:51    -2768.053134        0.057129
LBFGS:   68 21:25:55    -2768.057207        0.063324
LBFGS:   69 21:26:00    -2768.061302        0.067224
LBFGS:   70 21:26:04    -2768.065425        0.064929
LBFGS:   71 21:26:08    -2768.069516        0.056617
LBFGS:   72 21:26:12    -2768.073462        0.046716
