       Step     Time          Energy          fmax
LBFGS:    0 15:09:24    -2778.583599        3.451460
LBFGS:    1 15:09:30    -2778.907729        2.998696
LBFGS:    2 15:09:36    -2779.138185        2.527909
LBFGS:    3 15:09:42    -2779.339097        2.000823
LBFGS:    4 15:09:47    -2779.529025        1.585095
LBFGS:    5 15:09:52    -2779.719897        1.874755
LBFGS:    6 15:09:57    -2779.911888        2.047389
LBFGS:    7 15:10:03    -2780.101309        2.205107
LBFGS:    8 15:10:09    -2780.289178        2.396026
LBFGS:    9 15:10:14    -2780.475040        2.536250
LBFGS:   10 15:10:21    -2780.656366        2.678812
LBFGS:   11 15:10:25    -2780.834546        2.835212
LBFGS:   12 15:10:30    -2781.007090        2.897432
LBFGS:   13 15:10:35    -2781.171755        2.858673
LBFGS:   14 15:10:40    -2781.329320        2.738613
LBFGS:   15 15:10:47    -2781.468848        2.322950
LBFGS:   16 15:10:53    -2781.592583        1.770408
LBFGS:   17 15:10:58    -2781.714374        1.770150
LBFGS:   18 15:11:03    -2781.836158        1.679171
LBFGS:   19 15:11:08    -2781.948103        1.354688
LBFGS:   20 15:11:13    -2782.046182        1.027673
LBFGS:   21 15:11:21    -2782.131748        0.999399
LBFGS:   22 15:11:26    -2782.208467        0.940279
LBFGS:   23 15:11:31    -2782.280246        0.999846
LBFGS:   24 15:11:38    -2782.351337        1.154042
LBFGS:   25 15:11:44    -2782.425919        1.243126
LBFGS:   26 15:11:49    -2782.495837        1.263331
LBFGS:   27 15:11:55    -2782.562679        1.235491
LBFGS:   28 15:12:02    -2782.626785        1.169415
LBFGS:   29 15:12:08    -2782.688351        1.071421
LBFGS:   30 15:12:14    -2782.747400        0.950104
LBFGS:   31 15:12:19    -2782.803580        0.814253
LBFGS:   32 15:12:25    -2782.856340        0.667931
LBFGS:   33 15:12:30    -2782.905699        0.516806
LBFGS:   34 15:12:35    -2782.952048        0.411456
LBFGS:   35 15:12:40    -2782.995389        0.439417
LBFGS:   36 15:12:46    -2783.035750        0.434103
LBFGS:   37 15:12:53    -2783.074065        0.509433
LBFGS:   38 15:12:58    -2783.108111        0.520732
LBFGS:   39 15:13:03    -2783.137070        0.444311
LBFGS:   40 15:13:08    -2783.163753        0.322504
LBFGS:   41 15:13:13    -2783.183396        0.268620
LBFGS:   42 15:13:19    -2783.201818        0.272218
LBFGS:   43 15:13:24    -2783.217851        0.244930
LBFGS:   44 15:13:30    -2783.230018        0.296044
LBFGS:   45 15:13:36    -2783.240503        0.254643
LBFGS:   46 15:13:43    -2783.254131        0.251098
LBFGS:   47 15:13:49    -2783.267569        0.311209
LBFGS:   48 15:13:55    -2783.278255        0.382762
LBFGS:   49 15:14:00    -2783.298232        0.381024
LBFGS:   50 15:14:05    -2783.316285        0.451749
LBFGS:   51 15:14:10    -2783.342007        0.365615
LBFGS:   52 15:14:15    -2783.365905        0.355907
LBFGS:   53 15:14:20    -2783.394828        0.312424
LBFGS:   54 15:14:25    -2783.410568        0.222543
LBFGS:   55 15:14:31    -2783.424567        0.178350
LBFGS:   56 15:14:38    -2783.435274        0.311472
LBFGS:   57 15:14:44    -2783.440166        0.473153
LBFGS:   58 15:14:50    -2783.453898        0.267495
LBFGS:   59 15:14:55    -2783.463488        0.175749
LBFGS:   60 15:15:02    -2783.476621        0.149938
LBFGS:   61 15:15:08    -2783.484579        0.172634
LBFGS:   62 15:15:14    -2783.495564        0.174485
LBFGS:   63 15:15:20    -2783.506706        0.204126
LBFGS:   64 15:15:26    -2783.517234        0.165475
LBFGS:   65 15:15:33    -2783.526357        0.143400
LBFGS:   66 15:15:40    -2783.533390        0.157435
LBFGS:   67 15:15:45    -2783.538974        0.157979
LBFGS:   68 15:15:50    -2783.544509        0.148246
LBFGS:   69 15:15:55    -2783.549786        0.141718
LBFGS:   70 15:16:00    -2783.554834        0.109604
LBFGS:   71 15:16:06    -2783.559452        0.127470
LBFGS:   72 15:16:12    -2783.563771        0.095503
LBFGS:   73 15:16:18    -2783.567628        0.089814
LBFGS:   74 15:16:23    -2783.570988        0.068038
LBFGS:   75 15:16:29    -2783.574127        0.096676
LBFGS:   76 15:16:35    -2783.577083        0.089974
LBFGS:   77 15:16:40    -2783.579738        0.088348
LBFGS:   78 15:16:45    -2783.581959        0.063801
LBFGS:   79 15:16:51    -2783.583855        0.065381
LBFGS:   80 15:16:56    -2783.585688        0.068017
LBFGS:   81 15:17:01    -2783.587530        0.078182
LBFGS:   82 15:17:06    -2783.589175        0.064254
LBFGS:   83 15:17:12    -2783.590492        0.051499
LBFGS:   84 15:17:17    -2783.591647        0.056211
LBFGS:   85 15:17:22    -2783.592822        0.054427
LBFGS:   86 15:17:28    -2783.594035        0.050924
LBFGS:   87 15:17:35    -2783.595098        0.033798
LBFGS:   88 15:17:41    -2783.596052        0.043681
LBFGS:   89 15:17:48    -2783.596967        0.046407
LBFGS:   90 15:17:54    -2783.597883        0.048345
LBFGS:   91 15:18:00    -2783.598741        0.034273
LBFGS:   92 15:18:07    -2783.599528        0.034478
LBFGS:   93 15:18:13    -2783.600275        0.035583
LBFGS:   94 15:18:19    -2783.601000        0.037456
LBFGS:   95 15:18:25    -2783.601676        0.025832
LBFGS:   96 15:18:32    -2783.602303        0.025833
LBFGS:   97 15:18:39    -2783.602915        0.028227
LBFGS:   98 15:18:45    -2783.603502        0.027524
LBFGS:   99 15:18:51    -2783.604018        0.023931
LBFGS:  100 15:18:56    -2783.604462        0.017851
