       Step     Time          Energy          fmax
LBFGS:    0 14:09:18    -2814.352277        3.681727
LBFGS:    1 14:09:25    -2814.678848        2.275815
LBFGS:    2 14:09:32    -2815.580536        2.206644
LBFGS:    3 14:09:39    -2815.856424        5.188151
LBFGS:    4 14:09:45    -2816.205167        2.003225
LBFGS:    5 14:09:52    -2816.470533        1.903962
LBFGS:    6 14:09:58    -2817.202633        1.698063
LBFGS:    7 14:10:06    -2817.673315        2.612426
LBFGS:    8 14:10:12    -2818.165968        3.010179
LBFGS:    9 14:10:19    -2818.449525        2.073925
LBFGS:   10 14:10:25    -2818.756233        1.702615
LBFGS:   11 14:10:32    -2819.106730        1.722980
LBFGS:   12 14:10:38    -2819.279525        1.521693
LBFGS:   13 14:10:44    -2819.484052        1.265078
LBFGS:   14 14:10:51    -2819.574241        1.047719
LBFGS:   15 14:10:57    -2819.666795        0.873774
LBFGS:   16 14:11:03    -2819.747218        0.910115
LBFGS:   17 14:11:10    -2819.834719        0.679105
LBFGS:   18 14:11:16    -2819.898613        0.681913
LBFGS:   19 14:11:23    -2819.948843        0.581489
LBFGS:   20 14:11:29    -2820.000128        0.611230
LBFGS:   21 14:11:37    -2820.056478        0.669297
LBFGS:   22 14:11:43    -2820.105714        0.504849
LBFGS:   23 14:11:50    -2820.145493        0.506834
LBFGS:   24 14:11:56    -2820.184708        0.484914
LBFGS:   25 14:12:04    -2820.223502        0.440186
LBFGS:   26 14:12:11    -2820.264015        0.486182
LBFGS:   27 14:12:17    -2820.301624        0.368267
LBFGS:   28 14:12:24    -2820.330382        0.269737
LBFGS:   29 14:12:30    -2820.352016        0.226844
LBFGS:   30 14:12:37    -2820.372806        0.359071
LBFGS:   31 14:12:43    -2820.393151        0.362678
LBFGS:   32 14:12:50    -2820.413681        0.230789
LBFGS:   33 14:12:56    -2820.432469        0.217390
LBFGS:   34 14:13:04    -2820.449635        0.279477
LBFGS:   35 14:13:11    -2820.466279        0.287054
LBFGS:   36 14:13:18    -2820.482581        0.240408
LBFGS:   37 14:13:25    -2820.496753        0.160777
LBFGS:   38 14:13:32    -2820.510008        0.216307
LBFGS:   39 14:13:39    -2820.523507        0.260761
LBFGS:   40 14:13:46    -2820.537441        0.208442
LBFGS:   41 14:13:53    -2820.549971        0.148739
LBFGS:   42 14:14:00    -2820.561021        0.164329
LBFGS:   43 14:14:06    -2820.570742        0.172547
LBFGS:   44 14:14:13    -2820.580436        0.156333
LBFGS:   45 14:14:20    -2820.590317        0.155996
LBFGS:   46 14:14:27    -2820.599827        0.110582
LBFGS:   47 14:14:34    -2820.608499        0.170608
LBFGS:   48 14:14:41    -2820.616494        0.162285
LBFGS:   49 14:14:48    -2820.624305        0.093372
LBFGS:   50 14:14:55    -2820.632103        0.120702
LBFGS:   51 14:15:02    -2820.640318        0.137388
LBFGS:   52 14:15:09    -2820.648899        0.119628
LBFGS:   53 14:15:16    -2820.657672        0.108203
LBFGS:   54 14:15:23    -2820.666000        0.120715
LBFGS:   55 14:15:30    -2820.674094        0.134189
LBFGS:   56 14:15:37    -2820.682059        0.140895
LBFGS:   57 14:15:43    -2820.690643        0.110452
LBFGS:   58 14:15:50    -2820.699331        0.105838
LBFGS:   59 14:15:57    -2820.707574        0.133103
LBFGS:   60 14:16:04    -2820.715095        0.148437
LBFGS:   61 14:16:11    -2820.722462        0.107467
LBFGS:   62 14:16:18    -2820.729894        0.107239
LBFGS:   63 14:16:25    -2820.737538        0.131584
LBFGS:   64 14:16:31    -2820.744228        0.219603
LBFGS:   65 14:16:38    -2820.750907        0.153203
LBFGS:   66 14:16:45    -2820.756825        0.102125
LBFGS:   67 14:16:51    -2820.764175        0.125385
LBFGS:   68 14:16:58    -2820.768831        0.116487
LBFGS:   69 14:17:05    -2820.775542        0.121074
LBFGS:   70 14:17:12    -2820.780593        0.098653
LBFGS:   71 14:17:20    -2820.785870        0.100658
LBFGS:   72 14:17:28    -2820.790892        0.099446
LBFGS:   73 14:17:34    -2820.796330        0.092830
LBFGS:   74 14:17:41    -2820.801065        0.142475
LBFGS:   75 14:17:47    -2820.804586        0.248410
LBFGS:   76 14:17:53    -2820.808821        0.106471
LBFGS:   77 14:18:00    -2820.813357        0.194066
LBFGS:   78 14:18:06    -2820.818277        0.161590
LBFGS:   79 14:18:12    -2820.822508        0.093547
LBFGS:   80 14:18:18    -2820.827131        0.095937
LBFGS:   81 14:18:25    -2820.830960        0.084356
LBFGS:   82 14:18:31    -2820.834631        0.104406
LBFGS:   83 14:18:37    -2820.837928        0.075109
LBFGS:   84 14:18:43    -2820.840798        0.065593
LBFGS:   85 14:18:51    -2820.843198        0.065224
LBFGS:   86 14:18:57    -2820.845427        0.054515
LBFGS:   87 14:19:04    -2820.847586        0.095072
LBFGS:   88 14:19:10    -2820.849394        0.128413
LBFGS:   89 14:19:17    -2820.851164        0.041636
LBFGS:   90 14:19:24    -2820.852873        0.052066
LBFGS:   91 14:19:30    -2820.854679        0.058617
LBFGS:   92 14:19:37    -2820.855899        0.052043
LBFGS:   93 14:19:44    -2820.857304        0.033167
LBFGS:   94 14:19:51    -2820.858401        0.031048
LBFGS:   95 14:19:57    -2820.859559        0.044148
LBFGS:   96 14:20:05    -2820.860665        0.049725
LBFGS:   97 14:20:12    -2820.861711        0.043548
LBFGS:   98 14:20:18    -2820.862635        0.028578
LBFGS:   99 14:20:25    -2820.863486        0.043484
LBFGS:  100 14:20:31    -2820.864298        0.046018
LBFGS:  101 14:20:37    -2820.865022        0.028245
LBFGS:  102 14:20:43    -2820.865638        0.020057
LBFGS:  103 14:20:50    -2820.866197        0.028492
LBFGS:  104 14:20:56    -2820.866752        0.033831
LBFGS:  105 14:21:02    -2820.867302        0.026264
LBFGS:  106 14:21:08    -2820.867815        0.018446
