       Step     Time          Energy          fmax
LBFGS:    0 10:06:54    -2814.351984        3.682293
LBFGS:    1 10:07:01    -2814.678557        2.276144
LBFGS:    2 10:07:07    -2815.580206        2.206580
LBFGS:    3 10:07:13    -2815.855456        5.195051
LBFGS:    4 10:07:20    -2816.204397        2.003361
LBFGS:    5 10:07:26    -2816.469545        1.903810
LBFGS:    6 10:07:33    -2817.201705        1.693195
LBFGS:    7 10:07:39    -2817.672315        2.613809
LBFGS:    8 10:07:45    -2818.165021        3.011132
LBFGS:    9 10:07:52    -2818.448988        2.074693
LBFGS:   10 10:07:58    -2818.755579        1.703737
LBFGS:   11 10:08:04    -2819.106640        1.726966
LBFGS:   12 10:08:10    -2819.279213        1.523369
LBFGS:   13 10:08:17    -2819.483926        1.265161
LBFGS:   14 10:08:24    -2819.574037        1.046269
LBFGS:   15 10:08:30    -2819.666564        0.875034
LBFGS:   16 10:08:37    -2819.746961        0.911464
LBFGS:   17 10:08:45    -2819.834471        0.677246
LBFGS:   18 10:08:52    -2819.898300        0.681727
LBFGS:   19 10:08:59    -2819.948511        0.581796
LBFGS:   20 10:09:05    -2819.999827        0.611805
LBFGS:   21 10:09:12    -2820.056209        0.667093
LBFGS:   22 10:09:18    -2820.105411        0.503233
LBFGS:   23 10:09:25    -2820.145183        0.506627
LBFGS:   24 10:09:32    -2820.184439        0.484744
LBFGS:   25 10:09:38    -2820.223237        0.440007
LBFGS:   26 10:09:45    -2820.263777        0.486763
LBFGS:   27 10:09:51    -2820.301423        0.368144
LBFGS:   28 10:09:57    -2820.330210        0.269238
LBFGS:   29 10:10:03    -2820.351860        0.227211
LBFGS:   30 10:10:10    -2820.372666        0.359275
LBFGS:   31 10:10:16    -2820.393024        0.362544
LBFGS:   32 10:10:22    -2820.413573        0.230644
LBFGS:   33 10:10:30    -2820.432375        0.217546
LBFGS:   34 10:10:39    -2820.449555        0.279483
LBFGS:   35 10:10:47    -2820.466219        0.286652
LBFGS:   36 10:10:53    -2820.482533        0.239687
LBFGS:   37 10:11:00    -2820.496684        0.160817
LBFGS:   38 10:11:06    -2820.509914        0.216258
LBFGS:   39 10:11:12    -2820.523378        0.260575
LBFGS:   40 10:11:19    -2820.537330        0.207677
LBFGS:   41 10:11:25    -2820.549832        0.148513
LBFGS:   42 10:11:31    -2820.560866        0.164398
LBFGS:   43 10:11:38    -2820.570580        0.172503
LBFGS:   44 10:11:44    -2820.580282        0.155596
LBFGS:   45 10:11:51    -2820.590166        0.155012
LBFGS:   46 10:11:57    -2820.599672        0.110714
LBFGS:   47 10:12:04    -2820.608354        0.170482
LBFGS:   48 10:12:11    -2820.616364        0.162039
LBFGS:   49 10:12:17    -2820.624178        0.093597
LBFGS:   50 10:12:23    -2820.631984        0.121013
LBFGS:   51 10:12:30    -2820.640214        0.137241
LBFGS:   52 10:12:37    -2820.648810        0.119062
LBFGS:   53 10:12:44    -2820.657592        0.109126
LBFGS:   54 10:12:52    -2820.665919        0.119780
LBFGS:   55 10:13:01    -2820.674012        0.134557
LBFGS:   56 10:13:09    -2820.681988        0.140862
LBFGS:   57 10:13:16    -2820.690620        0.107934
LBFGS:   58 10:13:23    -2820.699340        0.105734
LBFGS:   59 10:13:30    -2820.707579        0.133203
LBFGS:   60 10:13:37    -2820.715137        0.148386
LBFGS:   61 10:13:44    -2820.722522        0.108003
LBFGS:   62 10:13:52    -2820.729971        0.109470
LBFGS:   63 10:13:58    -2820.737610        0.134722
LBFGS:   64 10:14:05    -2820.744207        0.229860
LBFGS:   65 10:14:14    -2820.751001        0.137636
LBFGS:   66 10:14:20    -2820.757016        0.107988
LBFGS:   67 10:14:26    -2820.764224        0.125146
LBFGS:   68 10:14:33    -2820.768969        0.117088
LBFGS:   69 10:14:39    -2820.775584        0.116411
LBFGS:   70 10:14:46    -2820.780663        0.099003
LBFGS:   71 10:14:54    -2820.785919        0.100774
LBFGS:   72 10:15:01    -2820.790921        0.100486
LBFGS:   73 10:15:07    -2820.796318        0.097893
LBFGS:   74 10:15:15    -2820.800887        0.173230
LBFGS:   75 10:15:21    -2820.804558        0.221493
LBFGS:   76 10:15:28    -2820.808697        0.101258
LBFGS:   77 10:15:34    -2820.813829        0.191258
LBFGS:   78 10:15:41    -2820.817896        0.168917
LBFGS:   79 10:15:47    -2820.822776        0.100230
LBFGS:   80 10:15:53    -2820.827065        0.093676
LBFGS:   81 10:15:59    -2820.830946        0.076193
LBFGS:   82 10:16:06    -2820.834544        0.127014
LBFGS:   83 10:16:12    -2820.837777        0.064435
LBFGS:   84 10:16:18    -2820.840419        0.093442
LBFGS:   85 10:16:25    -2820.842643        0.114127
LBFGS:   86 10:16:32    -2820.844802        0.095000
LBFGS:   87 10:16:40    -2820.847330        0.066961
LBFGS:   88 10:16:47    -2820.849189        0.061233
LBFGS:   89 10:16:54    -2820.851150        0.085421
LBFGS:   90 10:17:00    -2820.852802        0.099084
LBFGS:   91 10:17:06    -2820.854391        0.080724
LBFGS:   92 10:17:12    -2820.855756        0.047731
LBFGS:   93 10:17:19    -2820.856965        0.036745
LBFGS:   94 10:17:25    -2820.858094        0.050975
LBFGS:   95 10:17:31    -2820.859214        0.045300
LBFGS:   96 10:17:37    -2820.860332        0.047938
LBFGS:   97 10:17:44    -2820.861371        0.029870
LBFGS:   98 10:17:50    -2820.862315        0.033971
LBFGS:   99 10:17:57    -2820.863178        0.042808
LBFGS:  100 10:18:04    -2820.863981        0.044531
